Refdate,INDUSTRY_SECTOR,0
2019-12-18,Utilities,46.56251833459447
2019-12-19,Basic Materials,394.82043617021276
2019-12-19,"Consumer, Cyclical",254.917
2019-12-19,Energy,105.00325
2019-12-19,Technology,-436.719
2019-12-19,Utilities,46.92260740840449
2019-12-20,Basic Materials,376.1858577235772
2019-12-20,"Consumer, Cyclical",248.624
2019-12-20,Energy,104.416
2019-12-20,Technology,-413.73
2019-12-20,Utilities,45.46470452412608
2019-12-23,Basic Materials,392.7270744680851
2019-12-23,"Consumer, Cyclical",245.504
2019-12-23,Energy,103.512
2019-12-23,Technology,-494.307
2019-12-23,Utilities,46.984542652081984
2019-12-24,Basic Materials,379.8181991869919
2019-12-24,"Consumer, Cyclical",249.479
2019-12-24,Energy,103.337
2019-12-24,Technology,-571.94
2019-12-24,Utilities,46.138320987599066
2019-12-27,Basic Materials,380.2750975609756
2019-12-27,"Consumer, Cyclical",242.695
2019-12-27,Energy,103.2375
2019-12-27,Technology,-456.294
2019-12-27,Utilities,44.40736739349115
2019-12-30,Basic Materials,398.30371808510637
2019-12-30,"Consumer, Cyclical",236.913
2019-12-30,Energy,101.48575
2019-12-30,Technology,-458.383
2019-12-30,Utilities,44.984435570724415
2019-12-31,Basic Materials,370.77379268292685
2019-12-31,"Consumer, Cyclical",233.518
2019-12-31,Energy,101.13175
2019-12-31,Technology,-507.146
2019-12-31,Utilities,45.80854169159682
2020-01-02,Basic Materials,360.1799674796748
2020-01-02,"Consumer, Cyclical",233.459
2020-01-02,Energy,100.44725
2020-01-02,Technology,-423.504
2020-01-02,Utilities,45.3560631916612
2020-01-03,Basic Materials,361.7093211382114
2020-01-03,"Consumer, Cyclical",260.034
2020-01-03,Energy,101.57175
2020-01-03,Technology,-510.375
2020-01-03,Utilities,44.242091219926316
2020-01-06,Basic Materials,375.9203861788618
2020-01-06,"Consumer, Cyclical",232.848
2020-01-06,Energy,102.6845
2020-01-06,Technology,-448.486
2020-01-06,Utilities,43.72356667901412
2020-01-07,Basic Materials,374.57419918699185
