Refdate;Italy;Spain;France;;;
15/08/2019;323.1253213;397.0187018;338.2420016;;;
16/08/2019;313.5825504;391.5472408;337.3693442;;;
19/08/2019;300.6755356;378.7367317;330.0855501;;;
20/08/2019;296.7815209;372.2860344;319.6133166;;;
21/08/2019;282.7540819;356.147055;306.3367338;;;
22/08/2019;272.1008149;340.8948716;297.6931039;;;
23/08/2019;270.5737878;339.3986284;297.0605268;;;
26/08/2019;271.805409;338.318367;296.147719;;;
27/08/2019;268.465954;341.5791743;298.2100223;;;
28/08/2019;263.0285059;342.2742546;298.8319638;;;
29/08/2019;251.6353028;336.777945;296.0501631;;;
30/08/2019;254.1226438;334.0506101;293.8854636;;;
02/09/2019;253.169197;332.8308624;294.9969988;;;
03/09/2019;253.6506947;338.6296789;296.9346723;;;
04/09/2019;245.2971692;333.0659633;294.1076642;;;
05/09/2019;239.8031806;323.121117;279.9126978;;;
06/09/2019;239.4960472;329.2583349;284.6931982;;;
09/09/2019;240.4365766;333.9725688;286.3179669;;;
10/09/2019;243.6808559;337.4634197;291.9812853;;;
11/09/2019;245.5331268;335.4526514;287.3014831;;;
12/09/2019;230.9103634;300.0472683;273.0424637;;;
13/09/2019;225.1731103;297.548328;272.1143838;;;
16/09/2019;226.8844185;302.9175298;267.313508;;;
17/09/2019;233.4197931;311.5674862;279.2225327;;;
18/09/2019;237.741196;318.5684679;283.0459016;;;
19/09/2019;235.2713543;315.9999404;282.9091894;;;
20/09/2019;231.3537299;306.1842661;280.0158997;;;
23/09/2019;235.3964507;310.8007683;283.555216;;;
24/09/2019;236.6764976;310.4433945;284.6649608;;;
25/09/2019;240.983058;316.8771422;290.4746398;;;
26/09/2019;240.7496337;314.8568807;289.4558738;;;
27/09/2019;241.4898807;313.440906;289.9862065;;;
30/09/2019;240.7637022;312.4196606;291.0626367;;;
01/10/2019;236.9569558;306.8338555;294.4260285;;;
02/10/2019;240.6509062;313.5750963;300.5983666;;;
03/10/2019;245.0826522;324.5378693;300.863736;;;
04/10/2019;247.6587287;327.0859358;303.388172;;;
07/10/2019;248.5053038;326.9264174;305.036284;;;
08/10/2019;250.1066983;332.2190688;308.5009403;;;
09/10/2019;247.4929085;330.6595092;305.4954968;;;
10/10/2019;242.6266837;322.2809817;300.6689824;;;
11/10/2019;231.0472236;306.2984587;295.3857428;;;
14/10/2019;230.1966699;304.9838555;294.5691624;;;
15/10/2019;222.7134198;295.9677294;289.640479;;;
16/10/2019;219.2604186;291.7872752;290.1504616;;;
17/10/2019;216.570603;291.6552156;283.3958355;;;
18/10/2019;214.5208272;290.9967339;285.211809;;;
21/10/2019;211.8230996;285.5009656;282.9671098;;;
22/10/2019;210.6517547;282.482539;286.3005207;;;
23/10/2019;211.5659803;281.3015596;284.7058886;;;
24/10/2019;207.2652902;274.6540298;290.315812;;;
25/10/2019;203.4067514;270.1392477;289.9100748;;;
28/10/2019;204.2774805;269.7990252;288.1862362;;;
29/10/2019;208.8567813;287.6076766;290.4198815;;;
30/10/2019;211.5229087;291.6161353;295.1753822;;;
31/10/2019;211.1385461;293.7769587;298.2250404;;;
01/11/2019;209.482724;291.4130505;297.9133282;;;
04/11/2019;205.4319555;279.2681697;292.8163201;;;
05/11/2019;204.0598094;273.4726422;287.2159981;;;
06/11/2019;204.6613302;275.1946812;286.9775779;;;
07/11/2019;202.2538715;273.1924817;278.497803;;;
08/11/2019;206.0988596;282.029906;278.8484207;;;
11/11/2019;211.4338579;286.0651124;280.6330247;;;
12/11/2019;214.4817977;277.6333907;281.5842312;;;
13/11/2019;221.9161694;287.3274267;283.8358527;;;
14/11/2019;227.4095402;290.6902668;286.3517074;;;
15/11/2019;228.9071904;290.4736432;287.0337628;;;
18/11/2019;227.4391266;285.3205025;287.0746415;;;
19/11/2019;226.3192156;282.5164471;288.3998293;;;
20/11/2019;231.983382;288.3704259;291.9810968;;;
21/11/2019;231.8104019;285.8646078;292.747545;;;
22/11/2019;230.5413385;282.633918;292.8666231;;;
