,Refdate,Ticker,Z_SPRD_MID,AMT_OUTSTANDING,Base
15970,2019-06-03,UV813622 Corp,26.972,1000000000,27972000000.0
15971,2019-06-04,UV813622 Corp,28.592,1000000000,29592000000.0
15972,2019-06-05,UV813622 Corp,29.311,1000000000,30311000000.0
15973,2019-06-06,UV813622 Corp,29.209,1000000000,30209000000.0
15974,2019-06-07,UV813622 Corp,29.806,1000000000,30806000000.0
15975,2019-06-10,UV813622 Corp,29.772,1000000000,30772000000.0
15976,2019-06-11,UV813622 Corp,30.155,1000000000,31155000000.0
15977,2019-06-12,UV813622 Corp,30.073,1000000000,31073000000.0
15978,2019-06-13,UV813622 Corp,30.099,1000000000,31099000000.0
15979,2019-06-14,UV813622 Corp,30.164,1000000000,31164000000.0
15980,2019-06-17,UV813622 Corp,29.973,1000000000,30973000000.0
15981,2019-06-18,UV813622 Corp,29.596,1000000000,30596000000.0
15982,2019-06-19,UV813622 Corp,29.734,1000000000,30734000000.0
15983,2019-06-20,UV813622 Corp,29.116,1000000000,30116000000.0
15984,2019-06-21,UV813622 Corp,29.237,1000000000,30237000000.0
15985,2019-06-24,UV813622 Corp,29.154,1000000000,30154000000.0
15986,2019-06-25,UV813622 Corp,28.98,1000000000,29980000000.0
15987,2019-06-26,UV813622 Corp,29.115,1000000000,30115000000.0
15988,2019-06-27,UV813622 Corp,28.957,1000000000,29957000000.0
15989,2019-06-28,UV813622 Corp,28.882,1000000000,29882000000.0
15990,2019-07-01,UV813622 Corp,28.624,1000000000,29624000000.0
15991,2019-07-02,UV813622 Corp,28.5,1000000000,29500000000.0
15992,2019-07-03,UV813622 Corp,28.38,1000000000,29380000000.0
15993,2019-07-04,UV813622 Corp,27.978,1000000000,28978000000.0
15994,2019-07-05,UV813622 Corp,27.996,1000000000,28996000000.0
15995,2019-07-08,UV813622 Corp,27.662,1000000000,28662000000.0
15996,2019-07-09,UV813622 Corp,27.734,1000000000,28734000000.0
15997,2019-07-10,UV813622 Corp,27.896,1000000000,28896000000.0
15998,2019-07-11,UV813622 Corp,27.671,1000000000,28671000000.0
15999,2019-07-12,UV813622 Corp,27.576999999999998,1000000000,28577000000.0
16000,2019-07-15,UV813622 Corp,27.262,1000000000,28262000000.0
16001,2019-07-16,UV813622 Corp,26.064,1000000000,27064000000.0
16002,2019-07-17,UV813622 Corp,25.49,1000000000,26490000000.0
16003,2019-07-18,UV813622 Corp,25.268,1000000000,26268000000.0
16004,2019-07-19,UV813622 Corp,24.811,1000000000,25811000000.0
16005,2019-07-22,UV813622 Corp,24.342,1000000000,25342000000.0
16006,2019-07-23,UV813622 Corp,22.886,1000000000,23886000000.0
16007,2019-07-24,UV813622 Corp,22.09,1000000000,23090000000.0
16008,2019-07-25,UV813622 Corp,21.449,1000000000,22449000000.0
16009,2019-07-26,UV813622 Corp,21.522,1000000000,22522000000.0
16010,2019-07-29,UV813622 Corp,21.547,1000000000,22547000000.0
16011,2019-07-30,UV813622 Corp,21.488,1000000000,22488000000.0
16012,2019-07-31,UV813622 Corp,21.329,1000000000,22329000000.0
16013,2019-08-01,UV813622 Corp,21.359,1000000000,22359000000.0
16014,2019-08-02,UV813622 Corp,21.084,1000000000,22084000000.0
16015,2019-08-05,UV813622 Corp,20.839,1000000000,21839000000.0
16016,2019-08-06,UV813622 Corp,20.466,1000000000,21466000000.0
16017,2019-08-07,UV813622 Corp,20.814,1000000000,21814000000.0
16018,2019-08-08,UV813622 Corp,20.917,1000000000,21917000000.0
16019,2019-08-09,UV813622 Corp,21.284,1000000000,22284000000.0
16020,2019-08-12,UV813622 Corp,20.635,1000000000,21635000000.0
16021,2019-08-13,UV813622 Corp,20.614,1000000000,21614000000.0
16022,2019-08-14,UV813622 Corp,20.864,1000000000,21864000000.0
16023,2019-08-15,UV813622 Corp,20.74,1000000000,21740000000.0
16024,2019-08-16,UV813622 Corp,20.503,1000000000,21503000000.0
16025,2019-08-19,UV813622 Corp,21.023,1000000000,22023000000.0
16026,2019-08-20,UV813622 Corp,21.082,1000000000,22082000000.0
16027,2019-08-21,UV813622 Corp,21.153,1000000000,22153000000.0
16028,2019-08-22,UV813622 Corp,20.566,1000000000,21566000000.0
16029,2019-08-23,UV813622 Corp,20.811,1000000000,21811000000.0
16030,2019-08-26,UV813622 Corp,21.208,1000000000,22208000000.0
16031,2019-08-27,UV813622 Corp,20.617,1000000000,21617000000.0
16032,2019-08-28,UV813622 Corp,20.748,1000000000,21748000000.0
16033,2019-08-29,UV813622 Corp,19.963,1000000000,20963000000.0
16034,2019-08-30,UV813622 Corp,19.338,1000000000,20338000000.0
16035,2019-09-02,UV813622 Corp,19.1,1000000000,20100000000.0
16036,2019-09-03,UV813622 Corp,18.774,1000000000,19774000000.0
16037,2019-09-04,UV813622 Corp,18.586,1000000000,19586000000.0
16038,2019-09-05,UV813622 Corp,18.75,1000000000,19750000000.0
16039,2019-09-06,UV813622 Corp,18.589,1000000000,19589000000.0
16040,2019-09-09,UV813622 Corp,18.771,1000000000,19771000000.0
16041,2019-09-10,UV813622 Corp,18.971,1000000000,19971000000.0
16042,2019-09-11,UV813622 Corp,18.625,1000000000,19625000000.0
16043,2019-09-12,UV813622 Corp,17.967,1000000000,18967000000.0
16044,2019-09-13,UV813622 Corp,17.17,1000000000,18170000000.0
16045,2019-09-16,UV813622 Corp,17.032,1000000000,18032000000.0
