,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
INDUSTRY_SECTOR,Basic Materials,"Consumer, Cyclical",Energy,Technology,Utilities
Refdate,,,,,
2019-11-04,433.49625000000003,345.80449999999996,126.68125,-249.562,39.79116666666667
2019-11-05,436.66333333333336,322.707,123.53625,-238.928,39.99983333333333
2019-11-06,429.271,318.48850000000004,122.27350000000001,-252.617,39.09883333333333
2019-11-07,432.854,313.262,117.813,-233.462,40.558166666666665
2019-11-08,430.26300000000003,310.164,118.76925,-295.05,41.52283333333333
2019-11-11,431.69725,301.13800000000003,119.11350000000002,-333.417,43.323
2019-11-12,428.43174999999997,298.9705,118.87975,-326.061,44.0445
2019-11-13,431.13425,312.88599999999997,120.3785,-320.763,44.84
2019-11-14,431.09475000000003,313.8615,120.871,-330.587,45.29966666666666
2019-11-15,427.31875,303.86249999999995,114.355,-323.272,46.869166666666665
2019-11-18,443.89166666666665,289.5585,113.53875,-268.725,48.57399999999999
2019-11-19,420.21175,293.54600000000005,113.2005,-279.597,49.689666666666675
2019-11-20,439.0263333333333,308.67999999999995,114.04775000000001,-290.04,50.6585
2019-11-21,416.73525,287.0645,114.87775,-287.118,50.659
2019-11-22,394.355,305.70349999999996,114.98049999999999,-305.757,50.264833333333335
2019-11-25,392.3876666666667,286.84000000000003,114.163,-257.474,49.28066666666666
2019-11-26,387.0686666666666,278.8535,113.97075,-288.78,47.674
2019-11-27,396.0663333333334,281.22299999999996,114.654,-334.912,49.20250000000001
2019-11-28,409.359,277.709,114.51874999999998,-373.285,49.00716666666667
2019-11-29,400.0,277.8,112.538,-402.592,49.30383333333333
2019-12-02,402.99375000000003,276.34000000000003,111.0895,-342.93,49.45283333333334
2019-12-03,394.72249999999997,302.52549999999997,114.05675000000001,-377.851,47.85216666666667
2019-12-04,393.75800000000004,315.698,112.06299999999999,-360.315,47.51749999999999
2019-12-05,433.9863333333333,313.8885,110.535,-384.158,46.42433333333333
2019-12-06,378.38675,319.152,108.92475000000002,-474.517,46.52783333333334
2019-12-09,372.22049999999996,319.373,108.99924999999999,-440.826,45.035500000000006
2019-12-10,394.18875,317.211,109.39625,-510.555,44.6355
2019-12-11,418.326,314.11699999999996,109.8695,-507.104,45.5985
2019-12-12,411.7643333333333,304.44399999999996,108.69375,-393.161,46.94816666666666
2019-12-13,399.85533333333336,298.038,107.26524999999998,-373.767,45.88516666666666
2019-12-16,398.75666666666666,293.597,106.34325,-413.134,46.654333333333334
2019-12-17,399.279,262.303,105.794,-434.621,45.229666666666674
2019-12-18,377.63425,255.845,104.629,-420.485,44.413000000000004
2019-12-19,390.86566666666664,253.917,104.00325000000001,-437.719,44.76316666666667
2019-12-20,371.6965,247.62400000000002,103.416,-414.73,43.347
2019-12-23,388.8966666666667,244.504,102.51199999999999,-495.307,44.9125
2019-12-24,375.2095,248.479,102.33699999999999,-572.94,44.00866666666667
2019-12-27,375.5085,241.695,102.2375,-457.294,42.23483333333333
2019-12-30,393.7076666666667,235.913,100.48575,-459.383,42.70766666666666
2019-12-31,365.37075000000004,232.518,100.13175,-508.146,43.63033333333333
2020-01-02,354.81275,232.459,99.44725,-424.504,43.17816666666667
2020-01-03,356.2485,259.034,100.57175,-511.375,42.044000000000004
2020-01-06,371.16150000000005,231.848,101.6845,-449.486,41.531
2020-01-07,370.20349999999996,228.018,101.414,-450.263,41.172000000000004
2020-01-08,381.8795,235.245,100.77825000000001,-414.545,42.323
2020-01-09,379.8405,231.50650000000002,98.908,-418.119,42.89166666666667
2020-01-10,413.8473333333333,229.102,98.077,-453.113,41.70616666666667
2020-01-13,399.6586666666667,227.395,96.74449999999999,-428.741,39.797666666666665
2020-01-14,377.61275,227.072,96.73425,-426.602,39.05133333333333
2020-01-15,384.77725,226.35000000000002,98.09575,-432.596,39.54116666666667
2020-01-16,411.9963333333333,220.587,97.40674999999999,-438.83,38.958
2020-01-17,381.48900000000003,221.498,96.81425,-472.328,38.123999999999995
2020-01-20,377.61675,219.042,96.17224999999999,-433.208,36.326
2020-01-21,381.2015,224.025,96.5395,-401.263,36.821333333333335
2020-01-22,407.099,224.415,96.51825000000001,-368.323,36.71783333333334
2020-01-23,386.267,240.844,99.14375000000001,-386.598,35.958333333333336
2020-01-24,410.34100000000007,238.031,100.69449999999999,-423.273,33.67516666666666
2020-01-27,403.30525,251.488,108.79175000000001,-344.22,35.61816666666666
2020-01-28,396.53,267.633,108.50000000000001,-347.202,35.807500000000005
2020-01-29,357.74975000000006,266.764,108.97775,-357.816,34.664500000000004
2020-01-30,383.0566666666666,280.7345,113.99775000000001,-317.829,34.725
