,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value
INDUSTRY_SECTOR,Basic Materials,Communications,"Consumer, Cyclical","Consumer, Non-cyclical",Energy,Financial,Industrial,Technology,Utilities
Refdate,,,,,,,,,
2020-02-18,177.50000000000003,184.32999999999998,471.53000000000003,538.9699999999999,195.6,634.22,107.66000000000001,82.6,288.78
2020-02-19,178.70000000000002,186.14,471.87000000000006,545.45,198.00000000000003,642.84,112.93,82.25,292.7
2020-02-20,175.57000000000002,182.39,463.25999999999993,536.75,193.18999999999997,631.39,112.33000000000001,82.24,285.82
2020-02-21,172.63,183.92000000000002,466.8499999999999,530.9100000000001,190.13,626.01,115.04999999999998,83.03,286.9700000000001
2020-02-26,157.84,170.54000000000002,433.43,497.07000000000005,176.4,583.9100000000001,106.65,78.4,269.82
2020-02-27,154.47,165.62,412.09,483.34,169.67000000000002,574.38,101.84,73.64,262.47999999999996
2020-02-28,153.56999999999996,164.44,422.6200000000001,489.0799999999999,170.83999999999997,583.18,100.47999999999999,71.01,265.7
2020-03-02,159.85999999999999,168.23000000000002,429.21999999999997,498.82999999999987,176.41,588.22,106.18,74.18,271.37
2020-03-03,160.45999999999995,171.27999999999997,427.4699999999999,499.01000000000005,175.76,573.08,106.66,73.29,269.87
2020-03-04,169.26,176.48000000000002,430.76000000000016,499.26000000000005,178.62,573.13,109.05,74.0,280.70000000000005
2020-03-05,162.14000000000001,166.47,402.9,473.42,167.29999999999998,541.0600000000001,105.74,69.5,270.96000000000004
2020-03-06,152.43999999999997,160.44,396.85,455.40000000000003,158.07999999999998,527.1199999999999,100.22000000000001,64.94,260.62
2020-03-09,132.06,145.68,357.21000000000004,402.62999999999994,133.57999999999998,464.52,91.65,58.32,236.53000000000003
2020-03-10,146.41,154.49,383.65000000000003,434.38,145.45,492.84000000000003,95.33999999999999,62.28000000000001,250.65000000000003
2020-03-11,131.13,149.81,358.27,402.3300000000001,131.07999999999998,452.98,88.74000000000001,58.7,236.8
2020-03-12,109.0,128.48999999999998,292.42,338.51,106.44,383.29999999999995,73.63,51.19,207.19000000000003
