Refdate,Price Mid,YTM,Currenty Yield
2019-06-14,110.96046871981568,4.050391109635121,4.657069029468874
2019-06-17,111.0081070408617,4.047798678833225,4.655148550798605
2019-06-18,111.80843176202362,3.9766352559185147,4.620440287556615
2019-06-19,112.2917859335941,3.9321665241353276,4.599863817226146
2019-06-20,113.46127793624514,3.840828139681851,4.5631495191583715
2019-06-21,112.92783229354033,3.888037335837846,4.585793840627561
2019-06-24,112.9553816099986,3.8849637414375193,4.584264977360819
2019-06-25,112.81010749537366,3.897270475843073,4.590442010333606
2019-06-26,112.40459776994116,3.9344831399267255,4.607279121262597
2019-06-27,112.89605738201715,3.8900829244123747,4.586672551865578
2019-06-28,113.03615100454313,3.8760665803234007,4.580865332220063
2019-07-01,113.32644686123335,3.850525437489294,4.568862871526447
2019-07-02,113.56328994596552,3.8299662166893844,4.559470467017079
2019-07-03,113.85208512099007,3.8027804515796904,4.547466915233667
2019-07-04,113.85208512099007,3.8027804515797126,4.547466915233644
2019-07-05,113.4732285046434,3.837939789304934,4.562677284103245
2019-07-08,113.58638108217006,3.8321121166784877,4.558202623201035
2019-07-09,113.43414141921609,3.8454526126266764,4.5643618387349205
2019-07-10,113.36588967118179,3.8456754860750397,4.566913154494601
2019-07-11,113.01639615341044,3.873794092728522,4.580900501954588
2019-07-12,113.12968215639195,3.862829391514766,4.575551816485879
2019-07-15,113.39640872698432,3.8393480400003677,4.56452731857333
2019-07-16,113.14933415420778,3.862858083979126,4.574622221203284
2019-07-17,113.81643896286104,3.7937503002365647,4.554178184313473
2019-07-18,113.92807086708979,3.780886771530434,4.54942769435307
2019-07-19,113.93280878394786,3.780896978464776,4.549216885849816
2019-07-22,114.2092490138029,3.7580410784926688,4.537801273565334
2019-07-23,114.24629766410682,3.7519984064348977,4.534895500986358
2019-07-24,114.59872594227046,3.7309122946183937,4.53075163203378
2019-07-25,114.47680960258364,3.7383624137592886,4.535633438501474
2019-07-26,114.11180946233475,3.7346828767246043,4.515003272395268
