,Refdate,INDUSTRY_SECTOR,Index_Value,Country
113,2020-01-22,"Consumer, Cyclical",245.23200000000003,Italy
114,2020-01-22,"Consumer, Non-cyclical",212.32,Italy
115,2020-01-22,Energy,17.809,Italy
116,2020-01-22,Financial,196.78199999999998,Italy
117,2020-01-22,Industrial,83.473,Italy
118,2020-01-22,Technology,25.34,Italy
119,2020-01-22,Utilities,25.9385,Italy
120,2020-01-23,Communications,0.49420000000000003,Italy
121,2020-01-23,"Consumer, Cyclical",241.92150000000004,Italy
122,2020-01-23,"Consumer, Non-cyclical",210.57,Italy
123,2020-01-23,Energy,17.616,Italy
124,2020-01-23,Financial,196.7885,Italy
125,2020-01-23,Industrial,82.65899999999999,Italy
126,2020-01-23,Technology,27.0,Italy
127,2020-01-23,Utilities,26.2635,Italy
128,2020-01-24,Communications,0.5043,Italy
129,2020-01-24,"Consumer, Cyclical",243.67299999999997,Italy
130,2020-01-24,"Consumer, Non-cyclical",212.23,Italy
131,2020-01-24,Energy,17.57,Italy
132,2020-01-24,Financial,197.2155,Italy
133,2020-01-24,Industrial,84.76499999999999,Italy
134,2020-01-24,Technology,27.75,Italy
135,2020-01-24,Utilities,26.624999999999996,Italy
136,2020-01-27,Communications,0.49350000000000005,Italy
137,2020-01-27,"Consumer, Cyclical",234.55,Italy
138,2020-01-27,"Consumer, Non-cyclical",208.56,Italy
139,2020-01-27,Energy,17.186,Italy
140,2020-01-27,Financial,191.59600000000006,Italy
141,2020-01-27,Industrial,81.636,Italy
142,2020-01-27,Technology,26.15,Italy
143,2020-01-27,Utilities,26.399500000000003,Italy
144,2020-01-28,Communications,0.5052,Italy
145,2020-01-28,"Consumer, Cyclical",242.0,Italy
146,2020-01-28,"Consumer, Non-cyclical",213.7,Italy
147,2020-01-28,Energy,17.398,Italy
148,2020-01-28,Financial,195.7135,Italy
149,2020-01-28,Industrial,83.31699999999998,Italy
150,2020-01-28,Technology,27.06,Italy
151,2020-01-28,Utilities,27.265500000000003,Italy
152,2020-01-29,Communications,0.5169,Italy
153,2020-01-29,"Consumer, Cyclical",242.7895,Italy
154,2020-01-29,"Consumer, Non-cyclical",214.855,Italy
155,2020-01-29,Energy,17.29,Italy
156,2020-01-29,Financial,197.07200000000003,Italy
157,2020-01-29,Industrial,84.172,Italy
158,2020-01-29,Technology,26.9,Italy
159,2020-01-29,Utilities,27.4985,Italy
160,2020-01-30,Communications,0.5054000000000001,Italy
161,2020-01-30,"Consumer, Cyclical",239.04400000000004,Italy
162,2020-01-30,"Consumer, Non-cyclical",209.38,Italy
163,2020-01-30,Energy,16.806,Italy
164,2020-01-30,Financial,190.95250000000001,Italy
165,2020-01-30,Industrial,81.898,Italy
166,2020-01-30,Technology,26.45,Italy
